create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-01-01 15:20:00,BTCUSDT,94866.0900000000000000,8343593338.7866920000000000,2.90579477,2.50009600,2.54666942,0.40111400
2026-01-01 15:25:00,BTCUSDT,94879.4820000000000000,8346159025.6638000000000000,2.89917249,2.49847800,2.54136200,0.72669500
2026-01-01 15:30:00,BTCUSDT,94815.1720000000000000,8336321183.8624760000000000,2.89954613,2.49329700,2.54201324,1.83652100
2026-01-01 15:35:00,BTCUSDT,94715.8970000000000000,8328094147.1087000000000000,2.89745855,2.49273500,2.53968036,2.01378000
2026-01-01 15:40:00,BTCUSDT,94738.3250000000000000,8334613615.7075000000000000,2.89761819,2.49136400,2.54443884,2.69159600
2026-01-01 15:45:00,BTCUSDT,94763.4770000000000000,8334788950.6672000000000000,2.89635517,2.49195200,2.54197984,1.41630000
2026-01-01 15:50:00,BTCUSDT,94745.1740000000000000,8338361696.9442000000000000,2.89313497,2.49571300,2.53809546,2.62360100
2026-01-01 15:55:00,BTCUSDT,94781.3470000000000000,8339507422.2196000000000000,2.88945851,2.49589900,2.53559430,1.15035000
2026-01-01 16:00:00,BTCUSDT,94754.1650000000000000,8332171760.4760980000000000,2.88740236,2.49453600,2.53133633,0.66861300
2026-01-01 16:05:00,BTCUSDT,94728.3720000000000000,8328760255.6049070000000000,2.88584475,2.49395700,2.52736273,0.63463600
2026-01-01 16:10:00,BTCUSDT,94729.1580000000000000,8326841121.2637420000000000,2.88426111,2.49349600,2.52444779,0.49930600
2026-01-01 16:15:00,BTCUSDT,94731.7870000000000000,8322689566.4211000000000000,2.87871515,2.49279800,2.51772953,0.75267000
2026-01-01 16:20:00,BTCUSDT,94728.9060000000000000,8323106772.8291230000000000,2.87620952,2.49273400,2.51486207,0.56002900
2026-01-01 16:25:00,BTCUSDT,94723.9950000000000000,8327554230.1960350000000000,2.87821461,2.49388200,2.51883464,3.13580000
2026-01-01 16:30:00,BTCUSDT,94710.5190000000000000,8328161125.1232000000000000,2.87762937,2.49778700,2.51859438,2.87724900
2026-01-01 16:35:00,BTCUSDT,94717.5810000000000000,8327711797.8915000000000000,2.87832000,2.49763700,2.51717549,0.47968000
2026-01-01 16:40:00,BTCUSDT,94725.4480000000000000,8326243736.1176000000000000,2.87579452,2.49773900,2.51558415,0.51128000
2026-01-01 16:45:00,BTCUSDT,94711.5630000000000000,8329881965.8500000000000000,2.87375110,2.49888200,2.51398768,0.49197600
